track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4SFBV7SRNG2e2kyL1F6kjU,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",65,139306,"['5aIqB5nVVvmFsvSdExz408', '1YZhNFBxkEB5UKTgMDvot4']","['Johann Sebastian Bach', 'Lang Lang']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2kAgCRZPG3YQR2VMqRvLmb,The Lark Ascending,63,935360,"['7wNkISK49lKeXuRaZcQVFe', '0yB2SgzCCYb9uhjd4BG4pP', '1z9u3vLr7gw6IBS8CP8c2X', '1Q9HCWdqbiui9pOsDtYkXW']","['Ralph Vaughan Williams', 'Tasmin Little', 'BBC Philharmonic', 'Andrew Davis']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",66,207266,"['1QL7yTHrdahRMpvNtn6rI2', '6bk0YPhJSL44WBtoGe4GI6', '77CaCn32H4mOMQA7UElzfF']","['George Frideric Handel', 'Alexander Briger', 'Academy of St. Martin in the Fields']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0H2VhGUC3P3hvwz8rdGIpC,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",62,203655,"['2wOqMjp9TyABvtHdOSOTUS', '1YZhNFBxkEB5UKTgMDvot4']","['Ludwig van Beethoven', 'Lang Lang']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
419qlOGNXoyICx4jO0hqaj,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",60,174653,"['0Kekt6CKSo0m5mivKcoH51', '1fUhTALoWXPL6PZSkKImY9', '6tdexW8bZTG8NgOFUCYQn1', '5ZGyCOrODWwaVtLSDjayl5']","['Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5pjDwtMPly0cNMbuGXhUOI,"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato",59,478573,"['430byzy0c5bPn5opiu0SRd', '5VRErWhTZd0si1lqt1DwoW', '5yxyJsFanEAuwSM5kOuZKc', '3tSdzgzTMN9rWl97JaiJLn', '5X3hmAle6klG0VvstAnvyD']","['Edward Elgar', 'Jacqueline du Pré', 'London Symphony Orchestra', 'Sir John Barbriolli', 'Sir John Barbirolli']",5,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0yzhOPf0iw2qWwcXRRta5L,Rhapsody In Blue,55,890000,"['1YuknfkSYTTbolRpwZBOv4', '4imd50KIbHcyrStbIuZswj', '6I6fmQU7HGrUsCm4B5Nlk3', '3bRgHXc5F81fdXrdh5jpz5']","['George Gershwin', 'Benjamin Grosvenor', 'Royal Liverpool Philharmonic Orchestra', 'James Judd']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",68,152280,"['5aIqB5nVVvmFsvSdExz408', '5Dl3HXZjG6ZOWT5cV375lk']","['Johann Sebastian Bach', 'Yo-Yo Ma']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
6Uk28Hs2MulezLxMrd1rBD,Meditation: Méditation from Thaïs,0,337253,"['1AoIc5YFH0aSFc4mKqBEeB', '02B3Os1lCLuWR6klPJiQpW', '5yxyJsFanEAuwSM5kOuZKc', '3sjupE75AphhTX12fgkQv6']","['Jules Massenet', 'Nicola Benedetti', 'London Symphony Orchestra', 'Daniel Harding']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,62,296480,"['459INk8vcC0ebEef82WjIK', '5kgAnLGI2biBHvY7hDsF7P']","['Erik Satie', 'Alena Cherny']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
