track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
14JFKtBSqefxfMiKhq6JT8,Almost Maybes,77kULmXAQ6vWer7IIHdGzI,Jordan Davis,6GZSdWjroJCuofwkDsCGMD,179152,2020-05-08,73,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,14JFKtBSqefxfMiKhq6JT8,14JFKtBSqefxfMiKhq6JT8
1irAliF0T8sLIOPJp6n7rU,Single Saturday Night,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,1wmVEVgetT1F0Qnu0651Ps,187683,2020-05-22,72,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,1irAliF0T8sLIOPJp6n7rU,1irAliF0T8sLIOPJp6n7rU
4RN6OApAESI3Sh0gf5iuAM,Worship You,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,014fzAwHbsvUolo3ap8P38,205746,2020-08-14,72,0.63,0.496,8,-7.011,1,0.0329,0.388,0.0,0.088,0.387,78.024,4RN6OApAESI3Sh0gf5iuAM,4RN6OApAESI3Sh0gf5iuAM
4iXDn9pu5Q9sxv45vE8Lak,Famous Friends,4BYxqVkZyFjtik7crYLg5Q,Chris Young,0CIbEKfFhnHbwJwVHb4KE1,165569,2020-11-20,72,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,4iXDn9pu5Q9sxv45vE8Lak,4iXDn9pu5Q9sxv45vE8Lak
16ayXVtAftZYobyrNsZUQv,Another,4NsVVzuaZGk4aya8Pyacew,Adam Doleac,34lbLOjW3ub1GbC6fW6bUh,188014,2020-09-25,69,0.595,0.58,7,-6.482,1,0.0465,0.36,0.0,0.0992,0.329,74.99,16ayXVtAftZYobyrNsZUQv,16ayXVtAftZYobyrNsZUQv
3ySLzrN7950dpf1ncttONO,Lady,0fiWOxhsBsQQvFDtxUQWo0,Brett Young,6YjMnlV7GWmnUs4lN8bym9,193416,2020-05-01,70,0.408,0.523,7,-8.001,1,0.0353,0.417,9.58e-06,0.0877,0.428,169.954,3ySLzrN7950dpf1ncttONO,3ySLzrN7950dpf1ncttONO
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,0sOeI7pbAmIc8aDFyvkBUW,213493,2020-11-13,73,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,2UikqkwBv7aIvlixeVXHWt,2UikqkwBv7aIvlixeVXHWt
51FVpJr3WL7vvdfCa7j2jr,Momma’s House,1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,2jGU6wUOYlyscEVAh6dtg5,220160,2020-01-17,69,0.633,0.858,11,-3.509,0,0.0356,0.278,0.0,0.315,0.541,119.998,51FVpJr3WL7vvdfCa7j2jr,51FVpJr3WL7vvdfCa7j2jr
1LtiNpTzzSX8qcvlPFLmeR,Nothing's Better,0FvJm0y2eHw0aPkLLU3sIG,Filmore,0rpP7RK9FEdwTC8BDjDSLj,193144,2020-09-25,69,0.8,0.515,9,-5.431,1,0.0351,0.0724,0.0,0.355,0.949,110.018,1LtiNpTzzSX8qcvlPFLmeR,1LtiNpTzzSX8qcvlPFLmeR
0vK1vDEvEMvSpFEKW62Qub,Lose You,77kULmXAQ6vWer7IIHdGzI,Jordan Davis,3roOLsfxMpvsd8cEGJPyrc,203321,2020-10-16,71,0.649,0.64,6,-6.09,1,0.0352,0.209,0.000532,0.0965,0.42,94.957,0vK1vDEvEMvSpFEKW62Qub,0vK1vDEvEMvSpFEKW62Qub
1OTX8FOeKJt1v9mIxuF8sc,Long Live,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,2pl9wFZJHfPJIVuHw5WYl3,152372,2020-09-10,70,0.612,0.842,7,-3.547,1,0.0372,0.185,0.0,0.151,0.596,129.973,1OTX8FOeKJt1v9mIxuF8sc,1OTX8FOeKJt1v9mIxuF8sc
5PAvFGse5jjDH9ke8Mae7D,Just the Way,4TshyQDihSYXSWqvclXl3I,Parmalee,3BwXeSOrCEZNWEPqxxh7yE,193880,2019-12-13,72,0.426,0.829,9,-2.84,1,0.0569,0.107,0.0,0.317,0.814,180.241,5PAvFGse5jjDH9ke8Mae7D,5PAvFGse5jjDH9ke8Mae7D
1UYfAU2bwgjaM5rIIPQleC,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),6pBNfggcZZDCmb0p92OnGn,Chase Rice,5H6lxubLtZamdoXEmVmcbz,160839,2020-11-30,69,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,1UYfAU2bwgjaM5rIIPQleC,1UYfAU2bwgjaM5rIIPQleC
